citing_id,citing_publication_date,cited_id,cited_publication_date
10.1016/j.websem.2012.08.001,2012-12,10.1087/2009202,2009-04-01
10.1016/j.websem.2012.08.001,2012-12,10.1371/journal.pcbi.1000361,2009-04-17
10.1016/j.websem.2012.08.001,2012-12,10.1007/978-3-642-33876-2_35,2012
10.1016/j.websem.2012.08.001,2012-12,10.1186/2041-1480-1-S1-S6,2010-06-22
10.1016/j.websem.2012.08.001,2012-12,10.1145/945645.945664,2003-10-23
10.1016/j.websem.2012.08.001,2012-12,10.1007/11595014_22,2005
10.1016/j.websem.2012.08.001,2012-12,10.1016/j.jbi.2008.04.010,2008-10
10.1016/j.websem.2012.08.001,2012-12,10.1145/2362499.2362502,2012-09-05
10.1016/j.websem.2012.08.001,2012-12,10.3115/1654595.1654612,2009-07-15
10.1016/j.websem.2012.08.001,2012-12,10.1007/978-3-642-22630-4_1,2011
10.1016/j.websem.2012.08.001,2012-12,10.3233/SW-2012-0073,2013
10.1016/j.websem.2012.08.001,2012-12,10.1109/MIS.2010.49,2010-05-03
10.1016/j.websem.2012.08.001,2012-12,10.3233/SW-130098,2014
